Resulting f_r values for the distribution of N = [2,1000] 
points on a single sphere with radius r = 1.
Values for f_r^N as well as the normalized value f_r^N,norm are given.
See publication JCC for further information.


N  f_r^N            f_r^N,norm
954  878892.4894  921.27095325
955  880917.981389  922.427205643
956  882724.395274  923.351877902
957  884543.066302  924.287425603
958  886374.861054  925.234719263
959  888260.48017  926.236162846
960  890209.983389  927.30206603
961  891980.591262  928.179595486
962  893885.980163  929.195405575
963  895729.041544  930.144383742
964  897634.729557  931.156358462
965  899484.329999  932.108113989
966  901456.595557  933.184881529
967  903395.982976  934.225421898
968  905190.20306  935.113846137
969  907101.924449  936.121697058
970  908927.816733  937.038986323
971  910881.227977  938.085713674
972  912732.896123  939.025613295
973  914605.597229  939.985197563
974  916501.209046  940.966333722
975  918491.188656  942.042244775
976  920382.029023  943.014373999
977  922250.093483  943.961201108
978  924110.038539  944.897789917
979  926032.678524  945.896505131
980  928043.757378  946.983425896
981  929940.616827  947.95169911
982  931777.8605  948.857291751
983  933649.943644  949.79648387
984  935705.855545  950.920584903
985  937606.097556  951.884363001
986  939510.517101  952.850423024
987  941543.038315  953.944314402
988  943291.856306  954.748842415
989  945240.360215  955.753650369
990  947251.773755  956.81997349
991  949210.10853  957.830583784
992  951102.262506  958.772442042
993  952968.183938  959.685985839
994  955004.355228  960.768969042
995  956990.114384  961.799109934
996  958836.513135  962.687262184
997  960803.387864  963.694471278
998  962788.542849  964.717978806
999  964728.401219  965.694095315
1000  966547.320348  966.547320348
