Resulting f_r values for the distribution of N = [2,1000] 
points on a single sphere with radius r = 1.
Values for f_r^N as well as the normalized value f_r^N,norm are given.
See publication JCC for further information.


N  f_r^N            f_r^N,norm
161  23666.6610553  146.997894753
162  23968.5201099  147.953827839
163  24272.3219849  148.909950827
164  24578.1197791  149.866584019
165  24886.1233087  150.82498975
166  25195.5691563  151.780537086
167  25507.5914553  152.740068594
168  25821.070443  153.696847875
169  26136.5159184  154.653940346
170  26453.628028  155.609576635
171  26773.2865223  156.568927031
172  27094.3171979  157.525099988
173  27417.5996715  158.483235095
174  27742.573648  159.440078437
175  28069.7011479  160.398292273
176  28399.4278178  161.360385328
177  28730.2056573  162.317546086
178  29063.039385  163.275502163
179  29397.9111393  164.234140443
180  29734.9464759  165.194147088
181  30073.3840314  166.151292991
182  30414.3713235  167.111930349
183  30756.9782016  168.070919135
184  31101.4105974  169.029405421
185  31448.0718066  169.989577333
186  31796.0442867  170.94647466
187  32146.7083735  171.907531409
188  32498.9968375  172.867004455
189  32853.2818741  173.826888223
190  33209.3266306  174.785929635
191  33567.8022943  175.747655991
192  33928.1004239  176.708856375
193  34290.1531761  177.669187441
194  34653.8799019  178.628246917
195  35020.3399015  179.591486674
196  35387.4154264  180.54803789
197  35757.5931293  181.510625022
198  36129.2791733  182.471106936
199  36502.7607275  183.43095843
200  36878.1436627  184.390718313
201  37255.7657434  185.352068375
202  37635.198944  186.312866059
203  38016.8612205  187.275178426
204  38400.1987928  188.236268592
205  38785.4791859  189.197459443
206  39172.6602862  190.158545078
207  39561.7691553  191.119657755
208  39953.1524048  192.082463484
209  40346.2287049  193.044156483
210  40741.4280019  194.006800009
211  41138.5741981  194.969545963
212  41537.2130334  195.930250157
213  41938.0897394  196.892440091
214  42340.9853392  197.855071678
215  42746.1416834  198.819263644
216  43152.0790347  199.778143679
217  43560.5528967  200.7398751
218  43970.8828229  201.701297353
219  44385.0305084  202.671372185
220  44799.2109233  203.632776924
221  45215.0351141  204.592919068
222  45633.8792598  205.558014684
223  46053.6111147  206.518435492
224  46475.9454449  207.481899308
225  46900.0948569  208.444866031
226  47326.3348175  209.408561139
227  47754.7888151  210.373519009
228  48184.4634719  211.335366105
229  48616.3949128  212.298667741
230  49049.931125  213.260570109
231  49485.8935637  214.224647462
232  49923.4498892  215.187284005
233  50363.6910846  216.153180621
234  50805.6763004  217.118274788
235  51248.0264974  218.076708499
236  51693.8717597  219.04182949
237  52141.8651371  220.007869777
238  52591.9435654  220.974552796
239  53042.9200792  221.936904097
240  53496.7133696  222.902972373
241  53951.1455408  223.863674443
242  54408.3102523  224.827728315
243  54868.1170825  225.794720504
244  55329.2160955  226.759082359
245  55792.0205052  227.722532674
246  56257.1637513  228.687657526
247  56724.5642367  229.654106221
248  57193.1943345  230.617719091
249  57664.7706837  231.585424432
250  58136.9269378  232.547707751
251  58612.5892015  233.51629164
252  59089.0890549  234.480512123
253  59566.8520459  235.442102948
254  60047.5153558  236.407540771
255  60530.0678659  237.372815161
256  61014.7319582  238.338796712
257  61501.1607636  239.304127485
258  61990.6448561  240.273817272
259  62480.6044306  241.237854944
260  62972.4246955  242.201633444
261  63466.5592709  243.166893758
262  63963.1147774  244.134025868
263  64461.8474019  245.102081376
264  64961.2784451  246.065448656
